study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA472381	SAMN09233257	SRS3324254	SRX4108604	SRR7191896	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191896/SRR7191896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191896/SRR7191896_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191896/SRR7191896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191896/SRR7191896_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191896	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191896		
PRJNA472381	SAMN09233257	SRS3324254	SRX4108604	SRR7191897	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191897/SRR7191897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191897/SRR7191897_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191897/SRR7191897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191897/SRR7191897_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191897	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191897		
PRJNA472381	SAMN09233257	SRS3324254	SRX4108604	SRR7191898	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191898/SRR7191898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191898/SRR7191898_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191898/SRR7191898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191898/SRR7191898_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191898	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191898		
PRJNA472381	SAMN09233257	SRS3324254	SRX4108604	SRR7191899	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191899/SRR7191899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191899/SRR7191899_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191899/SRR7191899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191899/SRR7191899_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191899	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191899		
PRJNA472381	SAMN09233256	SRS3324255	SRX4108605	SRR7191900	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191900/SRR7191900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191900/SRR7191900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191900/SRR7191900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191900/SRR7191900_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191900	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191900		
PRJNA472381	SAMN09233256	SRS3324255	SRX4108605	SRR7191901	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191901/SRR7191901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191901/SRR7191901_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191901/SRR7191901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191901/SRR7191901_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191901	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191901		
PRJNA472381	SAMN09233256	SRS3324255	SRX4108605	SRR7191902	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191902/SRR7191902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191902/SRR7191902_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191902/SRR7191902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191902/SRR7191902_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191902	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191902		
PRJNA472381	SAMN09233256	SRS3324255	SRX4108605	SRR7191903	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191903/SRR7191903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191903/SRR7191903_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191903/SRR7191903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191903/SRR7191903_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191903	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191903		
PRJNA472381	SAMN09233255	SRS3324256	SRX4108606	SRR7191904	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191904/SRR7191904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191904/SRR7191904_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191904/SRR7191904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191904/SRR7191904_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191904	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191904		
PRJNA472381	SAMN09233255	SRS3324256	SRX4108606	SRR7191905	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191905/SRR7191905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191905/SRR7191905_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191905/SRR7191905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191905/SRR7191905_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191905	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191905		
