study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA472383	SAMN09233343	SRS3324288	SRX4108636	SRR7191948	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191948/SRR7191948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191948/SRR7191948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191948/SRR7191948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191948/SRR7191948_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191948	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191948		
PRJNA472383	SAMN09233342	SRS3324287	SRX4108637	SRR7191949	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191949/SRR7191949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191949/SRR7191949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191949/SRR7191949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191949/SRR7191949_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191949	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191949		
PRJNA472383	SAMN09233342	SRS3324287	SRX4108637	SRR7191950	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191950/SRR7191950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191950/SRR7191950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191950/SRR7191950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191950/SRR7191950_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191950	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191950		
PRJNA472383	SAMN09233342	SRS3324287	SRX4108637	SRR7191951	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191951/SRR7191951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191951/SRR7191951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191951/SRR7191951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191951/SRR7191951_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191951	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191951		
PRJNA472383	SAMN09233341	SRS3324286	SRX4108638	SRR7191952	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191952/SRR7191952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191952/SRR7191952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191952/SRR7191952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191952/SRR7191952_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191952	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191952		
PRJNA472383	SAMN09233341	SRS3324286	SRX4108638	SRR7191953	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191953/SRR7191953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191953/SRR7191953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191953/SRR7191953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191953/SRR7191953_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191953	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191953		
PRJNA472383	SAMN09233340	SRS3324289	SRX4108639	SRR7191954	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191954/SRR7191954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191954/SRR7191954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191954/SRR7191954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191954/SRR7191954_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191954	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191954		
PRJNA472383	SAMN09233340	SRS3324289	SRX4108639	SRR7191955	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191955/SRR7191955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191955/SRR7191955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191955/SRR7191955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191955/SRR7191955_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191955	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191955		
PRJNA472383	SAMN09233339	SRS3324290	SRX4108640	SRR7191956	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191956/SRR7191956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191956/SRR7191956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191956/SRR7191956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191956/SRR7191956_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191956	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191956		
PRJNA472383	SAMN09233339	SRS3324290	SRX4108640	SRR7191957	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191957/SRR7191957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191957/SRR7191957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191957/SRR7191957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191957/SRR7191957_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191957	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191957		
