Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,resident_tissue,Sample Name,source_name,SRA Study
SRR7191949,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233342,5540514318,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108637,GSM3148586,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148586,BC01,SRP148597
SRR7191950,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233342,5566874899,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108637,GSM3148586,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148586,BC01,SRP148597
SRR7191951,RNA-Seq,202,9533852580,PRJNA472383,SAMN09233342,3839099939,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108637,GSM3148586,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148586,BC01,SRP148597
SRR7191952,RNA-Seq,202,5964785886,PRJNA472383,SAMN09233341,2258353567,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108638,GSM3148587,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148587,BC01,SRP148597
SRR7191953,RNA-Seq,202,7909664308,PRJNA472383,SAMN09233341,3169719691,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108638,GSM3148587,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148587,BC01,SRP148597
SRR7191955,RNA-Seq,202,9777106232,PRJNA472383,SAMN09233340,3874687905,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108639,GSM3148588,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148588,BC01,SRP148597
SRR7191957,RNA-Seq,202,13352390284,PRJNA472383,SAMN09233339,5232895421,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108640,GSM3148589,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148589,BC01,SRP148597
SRR7191959,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233338,5552731761,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108641,GSM3148590,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148590,BC01,SRP148597
SRR7191961,RNA-Seq,202,4544540652,PRJNA472383,SAMN09233337,1728627827,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108642,GSM3148591,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148591,BC01,SRP148597
SRR7191963,RNA-Seq,202,4656618736,PRJNA472383,SAMN09233336,1863575759,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108643,GSM3148592,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148592,BC01,SRP148597
SRR7191965,RNA-Seq,202,7528843404,PRJNA472383,SAMN09233335,3061209142,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108644,GSM3148593,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148593,BC01,SRP148597
SRR7191967,RNA-Seq,202,7434017130,PRJNA472383,SAMN09233334,2850621849,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108645,GSM3148594,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148594,BC01,SRP148597
SRR7191969,RNA-Seq,202,7434174892,PRJNA472383,SAMN09233411,2890531317,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108646,GSM3148595,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148595,BC02,SRP148597
SRR7191970,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233411,5726517334,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108646,GSM3148595,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148595,BC02,SRP148597
SRR7191972,RNA-Seq,202,6163256744,PRJNA472383,SAMN09233410,2393091125,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108647,GSM3148596,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148596,BC02,SRP148597
SRR7191974,RNA-Seq,202,933349888,PRJNA472383,SAMN09233409,361682704,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108648,GSM3148597,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148597,BC02,SRP148597
SRR7191976,RNA-Seq,202,1000318140,PRJNA472383,SAMN09233408,387453343,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108649,GSM3148598,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148598,BC02,SRP148597
SRR7191979,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233407,5720837962,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108650,GSM3148599,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148599,BC02,SRP148597
SRR7191980,RNA-Seq,202,1994085622,PRJNA472383,SAMN09233407,816927334,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108650,GSM3148599,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148599,BC02,SRP148597
SRR7191982,RNA-Seq,202,9044303964,PRJNA472383,SAMN09233389,3681273984,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108651,GSM3148600,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,lymph node,GSM3148600,BC02,SRP148597
SRR7191984,RNA-Seq,202,4975988412,PRJNA472383,SAMN09233388,1947788492,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108652,GSM3148601,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148601,BC02,SRP148597
SRR7191986,RNA-Seq,202,1623122116,PRJNA472383,SAMN09233388,674375956,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108652,GSM3148601,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148601,BC02,SRP148597
SRR7191988,RNA-Seq,100,2010620800,PRJNA472383,SAMN09233387,777404435,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108653,GSM3148602,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148602,BC02,SRP148597
SRR7191990,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233387,5681517833,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108653,GSM3148602,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148602,BC02,SRP148597
SRR7191992,RNA-Seq,202,94679016,PRJNA472383,SAMN09233387,36053323,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108653,GSM3148602,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148602,BC02,SRP148597
SRR7191994,RNA-Seq,202,10774471132,PRJNA472383,SAMN09233386,4249141120,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108654,GSM3148603,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148603,BC02,SRP148597
SRR7191995,RNA-Seq,202,10924411490,PRJNA472383,SAMN09233386,4462762936,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108654,GSM3148603,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148603,BC02,SRP148597
SRR7191997,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233385,5493100376,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108655,GSM3148604,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148604,BC02,SRP148597
SRR7192001,RNA-Seq,202,3140911130,PRJNA472383,SAMN09233384,1239154112,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108656,GSM3148605,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148605,BC02,SRP148597
SRR7192002,RNA-Seq,100,389152800,PRJNA472383,SAMN09233383,154086851,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108657,GSM3148606,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148606,BC02,SRP148597
SRR7192004,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233383,5471418900,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108657,GSM3148606,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148606,BC02,SRP148597
SRR7192006,RNA-Seq,100,151424900,PRJNA472383,SAMN09233382,59515358,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108658,GSM3148607,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148607,BC02,SRP148597
SRR7192008,RNA-Seq,202,7493356852,PRJNA472383,SAMN09233382,2908621706,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108658,GSM3148607,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148607,BC02,SRP148597
